time,position_east(m),position_north(m),acceleration_east(m/s2),acceleration_north(m/s2)
161.0,-4693.158899252419,4011.9432793278247,1.113885088765528,0.8765307664871216
162.0,-4715.213449976669,4045.5549335526302,1.1684984310122672,0.8239665543660522
163.0,-4736.193322336796,4079.8675347426906,1.0746783641225193,0.7009469652548432
164.0,-4756.070296841965,4114.8043722789735,1.102897854958428,0.6242363462224603
165.0,-4775.084812460205,4150.208981334232,0.862458886927925,0.4677715189754963
166.0,-4793.455801234086,4185.953547217883,0.6435268443601672,0.3399568283930421
167.0,-4811.267420698714,4221.98889145907,0.5593693092523608,0.2907783575356006
168.0,-4828.908086821379,4258.076647567563,0.1709533419634681,0.0524118673056364
169.0,-4846.85552719672,4293.91331494879,-0.306774252676405,-0.2510887272655964
170.0,-4865.539379399503,4329.254107357934,-0.7364118274417706,-0.4958749720826745
171.0,-4885.450707099517,4363.853773824871,-1.227475497231353,-0.7411259422078729
172.0,-4906.838253698807,4397.562956747599,-1.476218899275409,-0.8904835442081094
173.0,-4929.748350369569,4430.262630833313,-1.5225500714732334,-1.0095088370144367
174.0,-4954.174841143889,4461.775778762065,-1.5163941035571042,-1.186526156961918
175.0,-4980.003901842516,4492.145770452917,-1.40256992430659,-1.143156237900257
176.0,-5007.232270804263,4521.220104472712,-1.3993082631204743,-1.2956576710566878
177.0,-5035.780432516942,4548.905295783654,-1.3197927509318106,-1.3891427088528872
178.0,-5065.753528239555,4575.059269856662,-1.424934009934077,-1.5312172379344702
179.0,-5097.0744580928,4599.58989424631,-1.347834130632691,-1.623349683359265
180.0,-5129.62409908956,4622.476640748791,-1.2287111435143745,-1.6438778871670363
181.0,-5163.340602120763,4643.638431101106,-1.1668620344426015,-1.7249561501666903
182.0,-5198.075533777388,4663.168415883556,-1.01842862542253,-1.6318055698648095
183.0,-5233.655948098603,4681.312969425693,-0.8454826645902358,-1.385431240312755
184.0,-5270.118869946891,4698.107596251182,-0.8825075270724483,-1.3499267166480422
185.0,-5307.480295933201,4713.492184470408,-0.8985041380219627,-1.4100386062636971
186.0,-5345.36288637956,4728.018412954174,-0.5211644600494765,-0.8583597354590893
187.0,-5383.322521045455,4742.510683235712,-0.0770442195353098,-0.03395820222795
188.0,-5421.181600815384,4757.236447915435,0.1005548959656152,0.2334943981841206
189.0,-5458.846517129423,4772.108912616968,0.1941634558897931,0.1467000218108296
190.0,-5496.522431809193,4786.851087930612,-0.0109983657312113,-0.1302893878892064
191.0,-5534.213140849228,4801.378915013745,-0.0147943602642044,-0.2143482305109501
192.0,-5571.893129822391,4815.655005517416,0.0107200668717268,-0.2517365794628858
193.0,-5609.660003658035,4829.417363635264,-0.0868848624813836,-0.5137323858216405
194.0,-5647.753065865603,4842.044682520442,-0.3261883719242178,-1.1350392326712608
195.0,-5686.350193859456,4853.222712074406,-0.5040657862846274,-1.4492893312126398
196.0,-5725.53530027176,4862.752875111997,-0.5879784184508026,-1.6478665163740516
197.0,-5765.328634117846,4870.349604697898,-0.6082274337823037,-1.93343345168978
198.0,-5805.573145860108,4876.167371203192,-0.4511778961750678,-1.7789630806073546
199.0,-5846.045940482145,4880.193049283698,-0.2282828797760885,-1.792088424786925
200.0,-5886.534564735746,4882.285551547073,-0.0158296315639745,-1.933175817131996
201.0,-5926.838521086116,4882.476506702602,0.1846679032314568,-1.9015471078455448
202.0,-5966.803320343839,4880.961600866169,0.3391570926469285,-1.705860991962254
203.0,-6006.203774311027,4877.806371040642,0.5643452905351296,-1.6403239890933037
204.0,-6044.902425680542,4872.93216056563,0.7018025976722129,-1.718980649486184
205.0,-6082.728009415645,4866.340192028321,0.8730676344130188,-1.7177580622956157
206.0,-6119.582887191064,4858.162805680186,0.9707059596839828,-1.5854178108274937
207.0,-6155.672844217392,4848.816162860952,0.7649207490903791,-1.169256471097469
208.0,-6191.324413957103,4838.81231011264,0.4383872866164893,-0.6572099290788174
209.0,-6226.857740133652,4828.4698683144525,0.1182435631635598,-0.3385890498757362
210.0,-6262.618202599202,4818.041876617819,-0.2271362890023738,-0.0855498984456062
211.0,-6298.770142318012,4807.481307285838,-0.3914772532589268,-0.1325776353478431
212.0,-6335.398429269902,4796.662400764413,-0.4763472330814693,-0.2583371894434094
213.0,-6372.505356636364,4785.617055369541,-0.478640414570691,-0.2264388734474778
214.0,-6410.129730391898,4774.835620178841,-0.5174463890725747,0.2639102041721344
215.0,-6448.291265218257,4764.970145733096,-0.5371610708243679,0.9159607449546456
216.0,-6486.964736118913,4756.339974640869,-0.5119360742974095,1.2353033535182476
217.0,-6526.115021794481,4749.728135338984,-0.476814774912782,2.018331790342927
218.0,-6565.741632439196,4746.269462869503,-0.476324969145935,3.1531668324023485
219.0,-6605.651172701706,4746.110497000627,-0.2829296177951619,3.299706600606441
220.0,-6645.494488999131,4749.067009680904,0.0662239650846459,3.1154785491526127
221.0,-6684.950046114303,4755.137486282736,0.3877591822529211,3.1139639215543866
222.0,-6723.82207759071,4764.039453469217,0.5835256387654226,2.8314905846491456
223.0,-6761.779975672573,4775.756271157414,0.9141333945444784,2.814850501716137
224.0,-6798.480475578137,4790.466658742167,1.257398176298011,2.993569896556437
225.0,-6833.831760991423,4807.872022154741,1.3492144922784064,2.694975827820599
226.0,-6867.6806562929705,4827.732266347855,1.5023901117383502,2.4548807805404067
227.0,-6900.621730015235,4849.06996049732,0.9078215792833362,1.4774499563500283
228.0,-6933.465944648546,4870.640433427878,0.0968590889533516,0.232778781093657
229.0,-6966.467765416892,4892.119174191728,-0.1576061350351665,-0.0917321667075157
230.0,,,-0.1569382181332912,-0.0597307672724127
231.0,,,-0.0824432149238418,0.0417649941518902
232.0,,,0.0870407099137082,0.2904775403439998
233.0,,,0.0455853314197156,0.2065089903771877
234.0,,,0.0021707300911657,0.1536046843975782
235.0,,,-0.0713557935669086,0.0555305741727352
236.0,,,-0.0129798526759259,0.1680974718183279
237.0,,,0.4198637234512716,0.7361547108739614
238.0,,,0.8554012311506085,1.294323641806841
239.0,,,1.1613071918836797,1.522443831898272
240.0,,,1.2409896833414678,1.4282777709886432
241.0,,,1.0625556715531277,1.147554274648428
242.0,,,0.7500707289436832,0.7593330349773169
243.0,,,0.1915029200608842,0.2174300597980618
244.0,,,-0.06268400530098,-0.0544684864580631
245.0,,,-0.0961466441513039,-0.1181630901992321
246.0,-7490.178881454631,5320.930481300689,-0.0520863897399976,-0.0806260462850332
247.0,-7517.870684588561,5350.083008384332,0.0281638310989364,-0.0347268702462315
248.0,-7545.656630615791,5379.117474029772,-0.0941428933001589,-0.1180614382028579
249.0,-7573.664080165821,5407.924058930948,-0.2215035228000488,-0.2278807442635297
250.0,-7602.022831764887,5436.388225981966,-0.3513020490354392,-0.3424178501591086
251.0,-7631.294681487227,5464.047009902075,-0.9130981232738122,-0.8053831309080124
252.0,-7661.995205554354,5490.262080687098,-1.4286743447883057,-1.443713135086
253.0,-7694.221229659452,5514.802107855678,-1.5255000379693229,-1.6750436164438725
254.0,-7727.669196683011,5537.803412150592,-1.221942918462446,-1.5387228736653924
255.0,-7762.092456029321,5559.331701910123,-0.9752923227497377,-1.47301453538239
256.0,-7797.461919915426,5579.108168867417,-0.9462045397958718,-1.7518228022381663
257.0,-7833.717108462006,5596.819826731458,-0.885724660474807,-2.0648090932518244
258.0,-7870.531811033143,5612.590798086487,-0.5595140245568473,-1.940686509013176
259.0,-7907.672256698308,5626.825465430506,-0.3257430940284394,-1.5363040110096335
260.0,-7944.987306984724,5640.176661800593,-0.1746046212501824,-0.883470973931253
261.0,-7982.388641008496,5653.013498832472,-0.0862837373570073,-0.514359338209033
262.0,-8019.792034442828,5665.624015141279,-0.0020594105590134,-0.2263207230716943
263.0,-8057.203977214056,5678.039872176945,-0.0085493368969764,-0.1946592731401324
264.0,-8094.636903709295,5690.50908625219,-0.0209837240108754,0.0533570395782589
265.0,-8132.166299675242,5703.1200832389295,-0.096469470707234,0.1417829114943742
266.0,-8169.916653698485,5715.683915523812,-0.2209580572962295,-0.0471647018566727
267.0,-8207.929621532443,5728.147390497848,-0.2626138107152655,-0.1003573108464479
